I would like to know if your course is recognized in the USA? I am interested and I would love to enrol in your class if I can practice it here?,"Live blood analysis is becoming recognized all over the world especially in USA, it is a nutritional tool used in a natural health & wellness setting. You will need to adhere to your local health and safety regulations."
Would the online training be the best way to take the course or would I need hands on class?,"This training course has been designed to overcome all of the problems involved in in-house training courses. Online training has many advantages: 
This online training course consists of live interactive lessons and video recordings so attendees can study anywhere in the world in any time zone. 
Online training does away with expensive travel and accommodation costs to travel to an in-house training centre where practitioners find they have to learn a huge amount of information in a short amount of time, this is not practical and students find they are not able to take all the information in.
With online training the course material is recorded so attendees can repeat the lessons.
Attendees can study or learn whenever they want at home or office at their own time and convenience.
Attendees can concentrate on all the information, no need to take notes or try to remember everything.
Attendees can refer to the course material anywhere, anytime, as long as they have an internet connection.
Attendees get all the online back up and support needed.
"
Could you give me a brief outline of the course and how it is presented?,"The 12 weekly interactve online lessons are presented via GotoWebinar, they consist of in-depth information, videos, diagrams and pictures describing, explaining and discussing  the material in the manual. Questions are posed and answered throughout the lesson and a video recording of the lesson is then sent out to all attendees after the live webinar for those in different time zones or anyone unable to attend for any reason.
"
What are some of the common problems that people experience in setting up the new live blood analysis practice?,"The most common problem is not having the right equipment. Live blood analysis darkfield microscopes are very specialized so the microscope system needs to be up to the correct specifications to be able to use LBA to its full potential.
We often see practitoners who want to add LBA to their practice, but who don’t want to invest in a good enough system, so they start with a very basic system that doesn’t allow them to see everything they should be able to see with LBA, consequently they and their clients never really fully benefit from LBA. 

"
Blue = Not added to FAQ yet - MAKE YELLOW AS ABOVE WHEN ADDED TO FAQ,
Why is your training course superior to other training courses available?,
What are the qualifications and experience of the tutor on your course,
Can I join a training course now?,"Yes, attendees can join at any time and catch up with the video recordings of the missed lessons"
What kind of pc or laptop do the training course & microscope require ? Windows or Apple?,The training course and the microscopes ar compatible with Windows and MAC
Do I need a medical background to practice LBA?,
Is there any research to back LBA up?,
Isn't it better to study hands on?,
Do you provide back up?,
"Can you give a bit extra detail on what digital materials are included, besides video recordings of weekly live webinars?","The online training materials and USB flash drive contains:

The complete Neogenesis Live & Dry Blood training manual

Instructional videos on all practical aspects of LBA (such as how to prepare a reliable live & dry blood sample; how to view the samples on your microscope using the correct settings for brightfield & darkfield; where one should look in a live sample for reliable results, and more)

Client questionnaire and disclaimer

Diets and health guidelines

Examples of blood analysis reports

Examples of live & dry anomalies (images & videos)

Instructional videos on live and dry blood analysis sampling"
"Do I need to start the course at a specific date, or can it be any time? What time are your weekly live webinars in UK time?","The live lessons take place at 7pm (UK time) on Tuesdays. Many of our attendees in the US and Canada are able to attend the live lessons (Tuesday afternoons US time) but since the lessons are recorded, attendees can always catch up with lessons they missed due to other commitments by listening to the recordings and then sending their question in by email."
"If the lessons are at night time for PST, do I need to participate in them to get certified? Can I send my questions via email after the webinar?",If you’re not able to attend the live lessons you can access the recordings (available on the training site the day after the live lesson) and send in your questions to us.
"After completion of the course, will I be able to get liability insurance in Canada, and from which association?","There is no liability insurance available for LBA specifically – our practitioners in Canada have liability insurance for their practice under their specific treatment modalities (nutrition, herbalism, naturopathy, etc)."
Is there any scientific proof about Live blood analysis?,https://livebloodonline.com/the-history-of-live-blood-analysis/
I would like to know if the training includes recommendations that you give to clients to correct the imbalances or improve the internal terrain depending on what is found or is it just the technique used for the microscope and how to identify the microforms?,"The training includes recommendations to give to clients to correct the imbalances and/or improve the internal terrain depending on what is found.
Solutions are given for all of the anomalies found in the analysis, you will find them in the manual provided. 
LBA is not just the technique used to identify the anomaly, we provide the treatment.
Further live blood analysis then also shows if the treatment is successful."
"i'll like to know if you teach us to recognise borrelia, babesia bacteria please?","We don’t cover the identification of borrelia and babesia bacteria specifically, since they can’t be identified on morphology alone. We do provide information on what spirochetes and other cell wall deficient bacteria look like and what has been seen in samples of patients with Babesiosis, as well as other microbes that can be identified in the blood. We can’t diagnose these infections with live blood analysis alone though, so further tests are used to confirm the diagnosis when there are red flags in the analysis."
"Does your training include identification of lyme and co-infections?
","We don’t cover Lyme specifically. We do provide information on what spirochetes and other cell wall deficient bacteria look like and how to find them in blood samples, but we are not able to diagnose a Lyme infection with live blood analysis."
"When we see bacteria, parasites etc in blood, what can we suggest to patients to help them? Do we have solutions?",
,
"If I buy your microscope and pay for the training course, will I be able to collaberate with you in future?
",
Do you teach urine and saliva tests too and other body liquids?,
"Can you define which bacteria you are seeing with the microscopes you provide?
",
"If i am not sure about results, can you help me to explain results  and find solution for the disease?",
Does LBA require the drawing of blood?,
Where is the best place to get a microscope & how much do they cost?,
Do I need to buy a microscope to take the TC?,
Are you a member of any governing body or association?,"Yes, we are CMA approved (Complementary Medical Association – UK)."
"I am in Australia, what about the time difference?",
Is LBA legal?,
What’s the difference between medical blood test and LBA?,
What does LBA show?,
Can LBA be done on animals?,
Do I need a telescope to fallow the course.,"No, at some point you’ll need a microscope, but not a telescope!"
What kind of illness we we be able to detect from the live blood analysis?,
Will we have protocols to offer when we find anomalies in the blood?,"Yes, they are discussed in the course and in detail in the manual"
"How accurate live blood analysis

","Yes it is. There are some states in the US where the medical council has tried to prevent the practice of LBA, but the technique is not regulated and there are practitioners in those states that are using LBA. Instead of using the term “live blood analysis” they say they’re using it as an educational tool to educate their clients on nutrition, diet & lifestyle. The only real risk is when practitioners make claims about being able to diagnose medical conditions, which is not what LBA should be used for. We cover the legal aspects in detail during the course to ensure that our attendees can use the technique safely without putting themselves or their clients at risk."
Will I be able to offer Blood cell analysis after the training.,
"What’s the difference between LBA and other tests used by natural health practitioners, such as the quantum analysers and biofeedback devices?",You will be able to help more people with LBA than with any other device used in natural health……
Cost of the program.,Cost of the training course $799 USD 
Can the training course be started at any time of the year or there are specific months to start the program.,"The training course can be started any time in the year due to being able to catch up with the recordings however, if you would like to attend the live online lessons, the training courses are in September (24th), January and April."
I have a microscope already all I need to do is learn how to use it,"We teach how to use your microscope in the first lesson, most microscopes are quite similar but our course tutor may be able to help you with any issues."
I would like to know if it is the same course that gets played over in cycles or is it a fresh course on every cycle ?,"Everytraining new course is presented live, you will also receive a video recording of the lesson."
What does your training cover related to infection prevention and control?,
I have been doing non invasive procedures in my practice how much higher will the liability insurance be for getting a drop of blood from a client?,
Would you be able to provide your clinical experience with menopausal concerns using LBA and DBA?,
Do you offer any payment plan?,"We offer a 2 part payment plan, 50% to begin the training course and the remaining 50% on week 6 which is half way through the 12 week training course."
Are the protocols for clients included in the training course?,"Yes, all the protocols are provided in great detail as part of the training course."
What type of license do we need to get in order to work doing the blood analysis?,"There isn’t any specific association or governing body for Live blood analysis and the type of license if any will depend on your country's specific regulations if there are.

LBA is not regulated as a medical practice as it isn’t a diagnostic procedure, so any practitioner who has received training is able to use LBA. We do cover the legal aspects in more detail in the training course.

The procedure does not draw blood, just a tiny pinprick is used via a lancet as in a blood sugar test.
A procedure for removal of refuse will need to be followed, similar to what an acupuncture practice will have in place."
added here on 13 09 2022,
,
Do we get some form of certification that we finished/attended the course?,
,
,
certificate,
"I would love to take the course , do you have any info if we can start with more affordable microscopes.","Live blood analysis requires a very specialized microscope to see all of the anomalies, if you want to practice live blood analysis to its full potential and help clients, you need a microscope that has this capability and they are not cheap. We have our microscopes specially made for us at the lowest price possible. Anything less will not allow you to do a full analysis which will not help your clients. 
See the video here https://www.youtube.com/watch?v=2pHQuFqxUUY&t=52s"
added here on 13 09 2022,
,
Do we get some form of certification that we finished/attended the course?,
,
,
certificate,
"I would love to take the course , do you have any info if we can start with more affordable microscopes.","Live blood analysis requires a very specialized microscope to see all of the anomalies, if you want to practice live blood analysis to its full potential and help clients, you need a microscope that has this capability and they are not cheap. We have our microscopes specially made for us at the lowest price possible. Anything less will not allow you to do a full analysis which will not help your clients. 
See the video here https://www.youtube.com/watch?v=2pHQuFqxUUY&t=52s"
How much is the microscope used in the training course and how is it purchased and shipped to United States?,
Are the parts and maintenance available in United States?,
What if the microscope is broken during shipment?,
Do you have service and repair agents available in Australia?,
Why are your darkfield microscopes more expensive than many other available online?,
Is there any finance available to purchase microscope,
is there a video on how to assemble the microscope?,
Do you ship the microscopes to Canada? What would be the estimated wait period?,
What is the cost of shipment of the microscope here in USA?,
"Warranty: how long does it currently take to get new parts, approx. what costs for shipment (if you have the info on our country), and how are the repairs done considering we are in another country? Are there any other special terms for our warranty?",
"Does the warranty go through you, or directly to the manufacturing company?",The warranty goes through our company Neogenesis Medical Systems.
"Are your microscopes approved by FDA, and is such approval needed? I am not familiar with requirements for microscopes, but working with other equipment, we needed to comply.",
Are there any supplies required for ongoing use of the microscope that I need to get? Are all available worldwide?,
Do you have an option to add a motorized stage?,
how long should it take to receive microscope? Is there a tracking number?,
Where can I get a list of accessories needed for the microscope,The list is provided with your microscope order or you will also find the list on the training site 
What is the income potential doing liveblood analysis? Can it be measured by population? I must plan how to pay off the microscope.,
What size lancet does one use?,
Is there a payment plan for the Microscope?,
Is the Microscope easy to move around?,
Does it come with a case,
Could you send the weight of this microscope and the dimensions of the box., 
"Which microscope do you recommend using for LBA, brightfield or dark field? Which one is best?",
I seem to have misplaced my immersion condenser oil. Can you tell me what kind to purchase?,
I am much more attracted to the darkfield images.  What would you say are the advantages of the brightfield assessment that the darkfield does not provide?,"Darkfield is far more interesting and often determines the course of action in a case, but it is important to first scan through the sample in brightfield. Brightfield is simpler to work with, so it’s easier to focus the sample and scan through it to select a suitable area. It is also easier to differentiate between the different WBCs and crystals in darkfield. Other than that we rely on darkfield for the rest of the information, so we usually only spend 5-10mins in brightfield and the balance in darkfield."
Does the monitor come with the microscope? Or do we need to purchase a monitor? If so do you have recommended specs for SID monitor? ,"The monitor is not included in the package. Any full-HD LED computer monitor with a HDMI input will be suitable. We usually recommend getting one by any well-known brand, ideally at least 24 inches large (since it’s a full-HD video you can get a monitor much larger than 24 inches if you like)."
"Of the 3 variations of Microscopy explained in Module 1, (Darkfield, Brightfield & Phase contrast, which do you personally use and find most useful?  Please explain.","We use only darkfield and brightfield as it allows for all the anomalies to be seen. Phase contrast is not used in our microscopes and training as it doesn’t allow for any other anomalies to be detected and is used mainly to avoid the cost of a professional darkfield system. We can add a phase contrast kit as an optional extra on our microscopes if it’s something a practitioner needs. However, in terms of what can be seen in the different techniques, the best combination is brightfield and a good quality oil-immersion darkfield system."
Where are your microscopes made?,Our microscopes are manufactured in Japan especially to our specifications in a factory that specializes in the manufacturing of microscopes for laboratory and surgical use and has over 40 years’ experience in producing reliable and durable systems.
"I ordered a microscope, when will it be delivered?",
The programme no longer works on the camera,
FOR LATER USE:,
Is there a payment plan for the Microscope ? Is the Microscope easy to move around? Does it come with a case.,
"I did receive the usb drive which I see has it on there.  But I cant open any of the files, I have tried to open with different apps but nothing works.",
"If so, can you send me a sample? If not, are there any templates you can recommend to purchase?",Please see the attached example of one of the report formats.
"Can you give a bit extra detail on what digital materials are included, besides video recordings of weekly live webinars?",
I wanted to know if I had any pending issues as to why I haven't received my certificate.,We issue certificates after attendees have completed the tests and the assignment on the online training site. I’ve just had a look and it doesn’t look like you’ve accessed any of the materials yet.
I can't seem to find what I need on amazon. Is there any possibility that you could send me a link to the correct slides? I did find Fisher but I think the size is incorrect.,
"I would like to know if you offer a microscope in dark field and camera for attedendee of the live blood course with installment payment.
I intend to settle a practice in Italy where I am from.
I would like to know as well if i can order the Neogenesis products in Italy.",
I need help replacing one of the lense objectives and on how to use my ToupCam camera. Can you recommend anyone?,
"Do you subscribe to the concept of Blood Type Diets?  Please explain.

Do you have any endorsements on nutrition/diet courses or reference books?",
Do you have a copy of suggested wording for the disclaimer please - the explanation of time line as it seems rather a long time since the lessons?,There is a disclaimer at the end of the client questionnaire on the flash drive / online training site that you can use. I’ve attached it here for you as well.
,
"what are the additional costs in setting up a LBA practice beyond that of the microscope which you offer. Eg. slides, HDMI connector, TV monitor (or is a laptop good enough?), lancets, to name a few.",
"does this beautiful posts come in a smaller, more convenient size? Like a flashcard to have by our sides when we are learning and have a client in front of us. ",
"I would love to take the course , do you have any info if we can start with more affordable microscopes.","Live blood analysis requires a very specialized microscope to see all of the anomalies, if you want to practice live blood analysis to its full potential and help clients, you need a microscope that has this capability and they are not cheap. We have our microscopes specially made for us at the lowest price possible. Anything less will not allow you to do a full analysis which will not help your clients."
,See the video here https://www.youtube.com/watch?v=2pHQuFqxUUY&t=52s
Can you tell me if the price iof the Rife machine includes shipping and handling and other fees as well?,"The price includes free international shipping. We use a forwarder who ships these machines for us with UPS, which is 100% trackable with a 3-5 day delivery time. . There is usually a small import tax payable, which works out to approx. $70 based on the commercial invoice value"
how long will it take to reach me here in USA?,"We are usually able to ship within 2-3 days of payment, so the total lead time is approx. a week"
"What happens if anything gets broken during shipping and handling, will it be replaced?","The machines are shipped with insurance, so if something does break during transit it will be replaced. However the machines are shipped in a protective padded bag, packed inside a larger box with 2” polystyrene padding to keep the risk of damage to a minimum. We’ve shipped several of the Rife machines across the world and haven’t had any cases of damage during shipment."
Is there any training required for the Real Rife Machine,
Can you tell me if this price includes shipping and handling and other fees as well? And how long will it take to reach here? And if anything gets broken during shipping and handling will it be replaced?,
Will the Real Rife machine work in my country?,
Is there any warranty?,The warranty is 1 year.
Is there maintenance and how often?,The machine requires no maintenance as its solid state. As it sweeps through the frequencies every 10 secs or so it does not require calibration either
What is the procedure if any repair is needed? ,"Regarding repairs if necessary, it would have to be shipped back to Cape Town to our engineer at this point. They are however very sturdy and reliable and we have not had a comeback in 4 years yet. We design it to operate well within its limits."
Why is Real Rife better than GB4000 Rife (respectively US $4700 v US $1800) ,"Re the GB 4000, This is a handheld generator that does not do what Rife originally did. It is the MOPA part of it that does do what Rife did to a large extent. We have tested one here a few times that a friend has. I explain the many differences on our Skype Zoom calls. With this tech the devil is always in the detail."
If understood correctly Real Rife is running all frequencies simultaneously in 20 min v GB4000 Rife is running up to 8 frequencies one after the other. What is the rationale and why? - ,"This requires a long explanation and a demonstration, it is something we can answer on the Zoom meetings where we can also demonstrate with a spectrum analyser and oscilloscope."
